UnixTimeStamp,NNIntervals,SDNN_5min,HeartRate,RMSSD_5min
1551452748694,1122,55.80098889731957,54,37.14891795548234
1551452749692,1164,55.9765672094585,53,37.227418682395715
1551452750690,1131,56.02775143997353,54,37.27865670345479
1551452751687,1126,56.06324355256879,54,37.211816648016715
1551452753682,1142,55.950528379057545,54,37.2409361314087
1551452754679,1139,56.012699105491095,54,37.149725607008946
1551452755676,1102,56.03050525517318,54,37.21435812565126
1551452756675,1116,55.976853884231424,54,37.15826747986594
1551452757672,1137,56.08400478905507,54,37.12449420767155
1551452758668,1089,56.05820012278322,54,37.12449420767155
1551452759667,1133,56.141061469938506,54,37.18639630530819
1551452760665,1169,56.339181406466395,54,37.246735403866126
1551452761662,1120,56.32560840931437,54,37.3302943625279
1551452762659,1112,56.34584044752502,54,37.299028725419234
1551452764653,1148,56.42700369271421,54,37.319282860733495
1551452766650,1098,56.46629298588151,54,37.42568608320476
1551452766652,1098,56.37838011598153,54,37.359737686445285
1551452767645,1110,56.30282501588144,54,37.18496780939732
1551452768644,1125,56.3691870469328,54,37.16834561146026
1551452769642,1092,56.27557693565265,55,37.154537396162084
1551452770639,1101,56.2782077748323,55,37.15038192526401
1551452771637,1104,56.29623142736615,55,37.14018016186971
1551452772634,1122,56.35164756282662,55,37.09078478260434
1551452774628,1136,56.441695678986726,55,37.12488440727488
1551452774629,1136,56.44308831143759,55,37.059695797882355
1551452776624,1137,56.600122194819484,54,36.927698676975055
1551452777622,1145,56.721638549264114,54,36.89598054370815
1551452778619,1100,56.667585931292805,55,36.94962310886708
1551452779617,1085,56.660040528889155,55,36.96015174348461
1551452780616,1101,56.57491269035018,55,36.907423301239035
1551452781612,1092,56.64559776350391,55,36.843741227047424
1551452782609,1090,56.541555880508675,55,36.682833610425206
1551452783605,1137,56.21378124515314,55,36.67827387770432
1551452784604,1127,55.41347043551715,55,36.681873713796705
1551452786598,1133,54.29950205073932,55,36.499770075271755
1551452786600,1133,54.2867602188877,55,36.43545324983795
1551452787597,1081,54.07006774862132,55,36.56414390790942
1551452789590,1106,53.94115196101951,55,36.56365764075951
1551452790588,1126,53.99374999544529,55,36.58278766519701
1551452791587,1018,54.128555312091876,56,36.79654692663948
1551452792585,998,54.05695348773602,57,36.78074661497195
1551452793582,1030,53.98813165527891,57,36.81258042759997
1551452794579,1061,53.917907350815526,57,36.85694817772173
1551452795577,1024,53.96605488064585,57,36.87348248060318
1551452796574,1088,53.769078088831584,57,36.92997862922169
1551452797572,1127,53.811409984528076,57,36.98543309850649
